Tank_1-0-14%_to_14-28%,Tank_1-14-28%_to_0-14%,Tank_1-14-28%_to_28-42%,Tank_1-28-42%_to_14-28%,Tank_1-28-42%_to_42-57%,Tank_1-42-57%_to_28-42%,Tank_1-42-57%_to_57-71%,Tank_1-57-71%_to_42-57%,Tank_1-57-71%_to_71-85%,Tank_1-71-85%_to_57-71%,Tank_1-71-85%_to_85-100%,Tank_1-85-100%_to_71-85%,Tank_1-85-100%_to_OVERFLOW,Tank_1-OVERFLOW_to_85-100%,Tank_4-0-14%_to_14-28%,Tank_4-14-28%_to_0-14%,Tank_4-14-28%_to_28-42%,Tank_4-28-42%_to_14-28%,Tank_4-28-42%_to_42-57%,Tank_4-42-57%_to_28-42%,Tank_4-42-57%_to_57-71%,Tank_4-57-71%_to_42-57%,Tank_4-57-71%_to_71-85%,Tank_4-71-85%_to_57-71%,Tank_4-71-85%_to_85-100%,Tank_4-85-100%_to_71-85%,Tank_4-85-100%_to_OVERFLOW,Tank_4-OVERFLOW_to_85-100%,Tank_5-0-14%_to_14-28%,Tank_5-14-28%_to_0-14%,Tank_5-14-28%_to_28-42%,Tank_5-28-42%_to_14-28%,Tank_5-28-42%_to_42-57%,Tank_5-42-57%_to_28-42%,Tank_5-42-57%_to_57-71%,Tank_5-57-71%_to_42-57%,Tank_5-57-71%_to_71-85%,Tank_5-71-85%_to_57-71%,Tank_5-71-85%_to_85-100%,Tank_5-85-100%_to_71-85%,Tank_5-85-100%_to_OVERFLOW,Tank_5-OVERFLOW_to_85-100%,Tank_6-0-14%_to_14-28%,Tank_6-14-28%_to_0-14%,Tank_6-14-28%_to_28-42%,Tank_6-28-42%_to_14-28%,Tank_6-28-42%_to_42-57%,Tank_6-42-57%_to_28-42%,Tank_6-42-57%_to_57-71%,Tank_6-57-71%_to_42-57%,Tank_6-57-71%_to_71-85%,Tank_6-71-85%_to_57-71%,Tank_6-71-85%_to_85-100%,Tank_6-85-100%_to_71-85%,Tank_6-85-100%_to_OVERFLOW,Tank_6-OVERFLOW_to_85-100%,Tank_7-0-14%_to_14-28%,Tank_7-14-28%_to_0-14%,Tank_7-14-28%_to_28-42%,Tank_7-28-42%_to_14-28%,Tank_7-28-42%_to_42-57%,Tank_7-42-57%_to_28-42%,Tank_7-42-57%_to_57-71%,Tank_7-57-71%_to_42-57%,Tank_7-57-71%_to_71-85%,Tank_7-71-85%_to_57-71%,Tank_7-71-85%_to_85-100%,Tank_7-85-100%_to_71-85%,Tank_8-0-14%_to_14-28%,Tank_8-14-28%_to_0-14%,Tank_8-14-28%_to_28-42%,Tank_8-28-42%_to_14-28%,Tank_8-28-42%_to_42-57%,Tank_8-42-57%_to_28-42%,Tank_8-42-57%_to_57-71%,Tank_8-57-71%_to_42-57%,Tank_8-57-71%_to_71-85%,Tank_8-71-85%_to_57-71%,Tank_8-71-85%_to_85-100%,Tank_8-85-100%_to_71-85%,Tank_7-OVERFLOW_to_85-100%,Tank_8-85-100%_to_OVERFLOW,Tank_8-OVERFLOW_to_85-100%,Tank_7-85-100%_to_OVERFLOW,Fitness,Label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8082191780821918,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0.7043478260869565,A
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,1,0,1,0,2,0,1,1,3,1,1,1,1,1,1,0,0,0,0,0.7875,A
0,2,0,2,0,2,0,0,0,0,0,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,2,2,0,0,0,2,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0.6666666666666667,A
0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,1,0,3,0,1,0,1,0,1,0,0,0,0,0.8407643312101911,A
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0.796875,A
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.9361702127659576,A
0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,6,6,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0.4961832061068703,A
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,0,0,0,0,3,0,1,2,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.760233918128655,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9463087248322148,N
